session_duration,login_time_pattern,avg_tx_amount,geo_distance_delta,user_id,tx_id,timestamp,tx_amount,currency,tx_type,merchant_id,tx_location,device_id,ip_address,is_vpn,avg_tx_amount_user,std_tx_amount_user,avg_tx_hour_user,device_change_freq,location_change_freq,txs_last_24h,txs_last_7d,has_recent_password_reset,is_new_device,tx_hour,risk_flag_manual,anomaly_score_baseline,country_mismatch,is_weekend,ip_risk_score
147,07:45,128.4619344098129,0.0,user_1,1,2023-01-04 06:58:30,112.54488920326833,EUR,withdrawal,merchant_52,loc_43,dev_1,192.168.1.75,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,3,10,0,0,6,0,0.06632333733939673,0,0,0.014075456836054635
88,19:47,128.4619344098129,9.056589404868102,user_1,2,2023-11-01 22:25:05,92.85404530367322,EUR,purchase,merchant_82,loc_33,dev_2,192.168.1.102,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,2,12,0,0,22,0,0.020841295661595784,0,0,0.014075456836054635
241,05:09,128.4619344098129,0.0,user_1,3,2023-12-29 05:49:36,162.28392450139916,PLN,transfer,merchant_53,loc_40,dev_17,192.168.1.156,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,2,5,0,0,5,0,0.06132909195725105,0,0,0.014075456836054635
115,04:35,128.4619344098129,8.081371917481999,user_1,4,2023-03-27 23:08:29,154.32921662378817,USD,withdrawal,merchant_63,loc_49,dev_13,192.168.1.30,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,2,12,0,0,23,0,0.07659741385997426,0,0,0.014075456836054635
82,05:16,128.4619344098129,3.7308145787248823,user_1,5,2023-09-10 23:12:40,140.0325003045528,EUR,transfer,merchant_59,loc_25,dev_7,192.168.1.193,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,4,5,0,0,23,0,0.10709469248603341,0,1,0.014075456836054635
67,17:33,128.4619344098129,0.0,user_1,6,2023-03-14 07:11:38,127.7369251528267,EUR,purchase,merchant_20,loc_39,dev_16,192.168.1.127,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,2,9,0,0,7,0,0.1653023442801208,0,0,0.014075456836054635
138,01:04,128.4619344098129,0.0,user_1,7,2023-12-17 07:52:07,98.25107736273844,EUR,withdrawal,merchant_16,loc_5,dev_7,192.168.1.193,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,3,16,0,0,7,0,0.076687806782061,0,1,0.014075456836054635
169,05:27,128.4619344098129,8.97550510717425,user_1,8,2023-03-14 11:37:27,106.54007955144957,PLN,purchase,merchant_47,loc_20,dev_3,192.168.1.193,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,5,8,0,0,11,0,0.167235663252919,0,0,0.014075456836054635
122,13:44,128.4619344098129,2.92977817332691,user_1,9,2023-06-15 03:20:27,108.74987119189902,USD,withdrawal,merchant_69,loc_22,dev_13,192.168.1.50,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,3,8,0,0,3,0,0.1329820550168482,0,0,0.014075456836054635
206,21:06,128.4619344098129,1.945965861320615,user_1,10,2023-10-15 23:12:01,123.94315119713183,EUR,transfer,merchant_57,loc_40,dev_15,192.168.1.134,0,128.4619344098129,20.663019034383336,18,0.01593078003542664,0.007544623147913843,8,8,0,0,23,0,0.12879876259535275,0,1,0.014075456836054635
